iter	Passed	Remaining
0	15	15902
1	24	12012
2	45	15136
3	60	14967
4	70	14035
5	97	16179
6	111	15752
7	123	15338
8	147	16243
9	178	17656
10	203	18321
11	232	19116
12	241	18369
13	255	17987
14	267	17572
15	283	17433
16	295	17058
17	310	16957
18	326	16839
19	338	16586
20	355	16558
21	383	17059
22	393	16709
23	400	16285
24	411	16057
25	427	16024
26	436	15733
27	446	15511
28	453	15182
29	461	14918
30	482	15081
31	537	16245
32	575	16868
33	592	16838
34	608	16775
35	631	16917
36	648	16867
37	665	16852
38	791	19498
39	990	23762
40	1026	24021
41	1038	23684
42	1046	23297
43	1054	22910
44	1063	22575
45	1071	22225
46	1087	22057
47	1225	24303
48	1239	24046
49	1258	23918
50	1274	23709
51	1323	24124
52	1348	24091
53	1376	24115
54	1511	25972
55	1522	25667
56	1530	25317
57	1539	25004
58	1546	24659
59	1566	24537
60	1580	24329
61	1595	24145
62	1614	24005
63	1634	23902
64	1651	23750
65	1665	23570
66	1682	23428
67	1692	23193
68	1722	23238
69	1728	22967
70	1736	22720
71	1743	22477
72	1856	23568
73	1893	23696
74	1929	23792
75	1982	24099
76	2024	24265
77	2118	25042
78	2163	25224
79	2209	25411
80	2267	25730
81	2299	25741
82	2314	25568
83	2420	26392
84	2616	28168
85	2737	29091
86	2762	28994
87	2914	30202
88	3111	31850
89	3189	32244
90	3306	33032
91	3313	32702
92	3321	32397
93	3328	32082
94	3337	31792
95	3343	31487
96	3353	31215
97	3359	30925
98	3368	30661
99	3375	30375
100	3384	30121
101	3391	29859
102	3409	29689
103	3435	29599
104	3453	29433
105	3473	29297
106	3496	29183
107	3506	28961
108	3520	28781
109	3531	28574
110	3553	28463
111	3559	28218
112	3566	27994
113	3576	27796
114	3587	27610
115	3594	27393
116	3603	27196
117	3622	27074
118	3628	26866
119	3647	26746
120	3658	26575
121	3765	27096
122	3776	26929
123	3785	26739
124	3795	26565
125	3805	26394
126	3816	26234
127	3825	26059
128	3842	25943
129	3852	25782
130	3869	25669
131	3887	25561
132	3892	25371
133	3898	25194
134	3911	25060
135	3946	25069
136	3965	24979
137	3977	24847
138	3987	24698
139	3994	24535
140	3999	24368
141	4005	24203
142	4016	24069
143	4039	24011
144	4054	23909
145	4060	23750
146	4064	23585
147	4071	23440
148	4077	23290
149	4082	23136
150	4087	22983
151	4092	22833
152	4097	22686
153	4102	22538
154	4107	22393
155	4111	22245
156	4116	22103
157	4122	21971
158	4128	21838
159	4134	21707
160	4140	21574
161	4144	21439
162	4150	21312
163	4154	21180
164	4158	21046
165	4164	20922
166	4169	20798
167	4174	20673
168	4178	20545
169	4183	20423
170	4187	20303
171	4191	20176
