iter	Logloss
0	0.6908645177
1	0.6893307336
2	0.6874095366
3	0.6848813877
4	0.6828396109
5	0.6809732193
6	0.6790679925
7	0.6803438726
8	0.6787031702
9	0.6770041618
10	0.6753039967
11	0.673800734
12	0.6717463031
13	0.6699544042
14	0.6678738645
15	0.6660247296
16	0.6646213521
17	0.663024446
18	0.6613516156
19	0.6599242869
20	0.6588475129
21	0.6574000085
22	0.6554759722
23	0.6539003032
24	0.652625428
25	0.6507494611
26	0.6489554866
27	0.6468570812
28	0.6453970805
29	0.6438975047
30	0.6425643806
31	0.6409409525
32	0.6391538695
33	0.6388258095
34	0.6371582891
35	0.6354918066
36	0.6341651457
37	0.6326204094
38	0.6317495529
39	0.6306498764
40	0.6291075128
41	0.6274112619
42	0.6262180456
43	0.6252143406
44	0.6239013197
45	0.6223652402
46	0.6208776281
47	0.6191869864
48	0.6179189625
49	0.6162986177
50	0.6148266296
51	0.6133625802
52	0.6117698356
53	0.6100240594
54	0.6087968784
55	0.607602344
56	0.6065017019
57	0.604949643
58	0.6035217869
59	0.6021057863
60	0.6007074262
61	0.5994310467
62	0.5980527747
63	0.5967405697
64	0.5952026805
65	0.5938949443
66	0.5926290806
67	0.5913028539
68	0.59011282669	0.5887948686
70	0.5870915189
71	0.5857466681
72	0.584168121573	0.5613000651
74	0.5596592705
775	0.5802775754
76	0.5790513539
77	0.5777565443778	0.5757418555779	0.574305372
80	0.5731819556
81	0.572449189
82	0.5712290414
83	0.5700101011
84	0.568664865
85	0.5673571418
86	0.5657892235
87	0.5644123389
88	0.5632888371
89	0.5621086228
90	0.5607797313
91	0.5595644604
92	0.5585307525
93	0.5572126573
94	0.5560496226
95	0.5546577916
96	0.5535845439
97	0.5526393886
98	0.5514804507
99	0.5502247415
100	0.5486323729
101	0.5470983676
102	0.5459380134
103	0.5448339445
104	0.5434504212
105	0.5423648141
106	0.5410733354
107	0.5399088234
108	0.5386635277
109	0.5374147948
110	0.5361659112
111	0.5347853943
112	0.5334296324
113	0.5320944319
114	0.5309085094
115	0.5298859381
116	0.5286369411
117	0.5274900613
118	0.526266806
119	0.5251067231
120	0.5237954781
121	0.5222556872
122	0.5211989711
123	0.5206421115
124	0.5194387306
125	0.5180832477
126	0.5167496195
127	0.5157860339
128	0.5146081431
129	0.5136442743
130	0.512511234
131	0.5117241083
132	0.5104706535
133	0.509613102
134	0.5089361522
135	0.5076970769
136	0.5062879565
137	0.5055309411
138	0.5043857713
139	0.5033570366
140	0.5020455551
141	0.5010184284
142	0.4997312421
143	0.4985260511
144	0.4975880293
145	0.4965732095
146	0.4956231108
147	0.4947536177
148	0.4938489937
149	0.4924531559
150	0.4916247024
151	0.4904980181
152	0.4894109285
153	0.4882976645
154	0.4872973063
155	0.4864551483
156	0.4857081802
157	0.484728848
158	0.4838316515
159	0.4829116201
160	0.4819340532
161	0.4809189665
162	0.4798148516
163	0.4789465524
164	0.4776724514
165	0.4768648266
166	0.4760397237
167	0.4753239804
168	0.474187584
169	0.4732067275
170	0.4722887486
171	0.4714811809
172	0.4703055329
173	0.4688166159
174	0.4680443197
175	0.4669798525
176	0.4661821878
177	0.4653029574
178	0.4644799148
179	0.4634500774
180	0.4623607459
181	0.4610580794
182	0.4602286519
183	0.4593870223
184	0.4585901033
185	0.4577500064
186	0.4565919215
187	0.455652351
188	0.4547476281
189	0.4537396389
190	0.4530264983
191	0.4523069502
192	0.4515804212
193	0.4506880635
194	0.4494418338
195	0.4485195526
196	0.4477299979
197	0.4469886972
198	0.446089704
199	0.4451492572
200	0.4443694495
201	0.443409295
202	0.4426455818
203	0.4418967018
204	0.4408695072
205	0.4398703771
206	0.4394223309
207	0.4386534529
208	0.4376092087
209	0.4367946174
210	0.4357840501
211	0.4350572593
212	0.4344227688
213	0.4338492043
214	0.4331508868
215	0.4322616665
216	0.4314153118
217	0.4306253516
218	0.4295803565
219	0.4288660065
220	0.4282414084
221	0.4273355282
222	0.4263715915
223	0.4256136322
224	0.4249753079
225	0.4239714561
226	0.4232612736
227	0.4223914456
228	0.4216462566
229	0.4209841493
230	0.4201503841
231	0.4192520213
232	0.4183014242
233	0.4173787358
234	0.4166194843
235	0.4158974119
236	0.4149731526
237	0.4142132128
238	0.4135396931
239	0.4127525711
240	0.412106258
241	0.4114160922
242	0.4106344803
243	0.4099449198
244	0.4091599072
245	0.4083071508
246	0.4077285084
247	0.4068950674
248	0.4063784401
249	0.4058593643
250	0.4052729516
251	0.4046753558
252	0.403834306
253	0.4031449154
254	0.4027712365
255	0.401791362
256	0.4011972498
257	0.4004695347
258	0.3997769747
259	0.3991212448
260	0.3983696611
261	0.3978344473
262	0.3975887681
263	0.3971610765
264	0.3966906743
265	0.3960076946
266	0.3951273156
267	0.3947771647
268	0.3942516377
269	0.3936120363
270	0.3929364353
271	0.3922688676
272	0.3915185398
273	0.3909472464
274	0.390349313
275	0.3896288315
276	0.3888142657
277	0.3878993593
278	0.3873397818
279	0.3867229074
280	0.3860246926
281	0.3854456426
282	0.3847192663
283	0.3840192434
284	0.3833756597
285	0.3826909652
286	0.3822219301
287	0.3815778143
288	0.3809859388
289	0.3801750727
290	0.3796237952
291	0.3791395316
292	0.3785410614
293	0.3778498575
294	0.3771894621
295	0.376686568
296	0.3758868744
297	0.3754049021
298	0.3749832146
299	0.3742582739
300	0.3737890378
301	0.3730310365
302	0.3724641576
303	0.371883791
304	0.3713636691
305	0.3708693864
306	0.370215473
307	0.3694116803
308	0.368727554
309	0.3679547663
310	0.3671873653
311	0.36675295
312	0.3661635052
313	0.3655793519
314	0.3647137703
315	0.3641151819
316	0.363616105
317	0.3631043448
318	0.362382027
319	0.3618783779
320	0.3610080947
321	0.3602884793
322	0.3598209544
323	0.3592947658
324	0.358863095
325	0.3582600023
326	0.3578624157
327	0.3572154736
328	0.3565725442
329	0.3557904201
330	0.3551770246
331	0.3545903085
332	0.3540596412
333	0.3535976293
334	0.3530804096
335	0.3525256359
336	0.3517172687
337	0.3513741469
338	0.3507629904
339	0.3501454083
340	0.3491112295
341	0.348353659
342	0.3478888557
343	0.3472652162
344	0.3464661745
345	0.3460450647
346	0.3454851366
347	0.3450189874
348	0.3445720604
349	0.3441082351
350	0.343652658
351	0.3428054197
352	0.3421586793
353	0.3414620592
354	0.3408799197
355	0.3402576457
356	0.3396232162
357	0.3390785454
358	0.3381761303
359	0.3377297892
360	0.337300174
361	0.336735316
362	0.3364514281
363	0.3359310112
364	0.3354495295
365	0.3349015959
366	0.3343162654
367	0.3337109602
368	0.333265184
369	0.3326949706
370	0.3321971316
371	0.3317210661
372	0.3310928458
373	0.3307079018
374	0.3302351756
375	0.3296924257
376	0.328967998
377	0.3284760393
378	0.3279382869
379	0.3272493832
380	0.3268175548
381	0.3262542952
382	0.325877302
383	0.325073407
384	0.3246326873
385	0.3241550702
386	0.3237242099
387	0.3233002172
388	0.322910549
389	0.3224210156
390	0.3218076776
391	0.3213887816
392	0.321067841
393	0.3204273249
394	0.3200317334
395	0.3196313378
396	0.3194108491
397	0.3187074633
398	0.3180086151
399	0.3174143391
400	0.3171339082
401	0.3164526065
402	0.3158419168
403	0.315341722
404	0.3150021221
405	0.3146537589
406	0.3142874864
407	0.3136973405
408	0.3132188216
409	0.3125622365
410	0.3120384305
411	0.3115479112
412	0.3110704917
413	0.3104856277
414	0.3101853729
415	0.309816611
416	0.3092282574
417	0.3087856446
418	0.3082949718
419	0.3078577779
420	0.3073765002
421	0.3071168864
422	0.3065621676
423	0.3059939034
424	0.30528387
425	0.3048280276
426	0.3043632704
427	0.3038762274
428	0.3033390723
429	0.3027889145
430	0.3022888844
431	0.3019446014
432	0.3014539974
433	0.3011452237
434	0.3004438269
435	0.3000874497
436	0.2994286276
437	0.2988764782
438	0.2984339753
439	0.2980534073
440	0.2976365817
441	0.2970566331
442	0.2966923215
443	0.2964074533
444	0.2959806528
445	0.2955967454
446	0.2951304142
447	0.29456227
448	0.2943255801
449	0.2939584335
450	0.2934872935
451	0.2930548307
452	0.2927624143
453	0.2922720404
454	0.2919306776
455	0.2913343899
456	0.2908419512
457	0.2903077946
458	0.2899280707
459	0.2895465555
460	0.2892055037
461	0.2889670296
462	0.2886698887
463	0.2883319705
464	0.2879619854
465	0.2876400374
466	0.2871532421
467	0.2864858768
468	0.2860274504
469	0.2854859581
470	0.2849966165
471	0.2845845942
472	0.2841064878
473	0.2837232492
474	0.2832443281
475	0.2827552761
476	0.2824729308
477	0.2821248664
478	0.2817708638
479	0.2814773387
480	0.2811332469
481	0.2805906692
482	0.2802625847
483	0.279831547
484	0.2794749391
485	0.2791012367
486	0.2788223088
487	0.2783930861
488	0.2781485818
489	0.2778586977
490	0.2774345351
491	0.2771288946
492	0.2768205001
493	0.2763470471
494	0.2760951726
495	0.2758153611
496	0.2755238076
497	0.2752580546
498	0.2748229444
499	0.2743298488
500	0.273931614
501	0.2734904619
502	0.2731007661
503	0.2726950239
504	0.2723484026
505	0.2719519398
506	0.2716163424
507	0.2710366837
508	0.2707105086
509	0.2703558824
510	0.2699709709
511	0.2695019253
512	0.2689834672
513	0.2685065638
514	0.2681429331
515	0.2678189756
516	0.2673532751
517	0.2670290651
518	0.266638851
519	0.2662166624
520	0.2658568033
521	0.2653685251
522	0.2649722523
523	0.2646419476
524	0.2644880144
525	0.2639608808
526	0.2635912811
527	0.26329976
528	0.263025179
529	0.2626533951
530	0.2622451664
531	0.2619144902
532	0.2613028638
533	0.2610655372
534	0.2607560999
535	0.2602699881
536	0.2600886995
537	0.2597211423
538	0.2593173253
539	0.2589494084
540	0.2585827545
541	0.2582175331
542	0.2577884175
543	0.2574466493
544	0.2570555209
545	0.2567999157
546	0.2564606465
547	0.2560470213
548	0.2557795661
549	0.2555929004
550	0.2551687734
551	0.2550390375
552	0.2546619774
553	0.2541886265
554	0.253837526
555	0.2535549588
556	0.2531883436
557	0.2529578083
558	0.2525989387
559	0.2522048457
560	0.2520029506
561	0.2514479662
562	0.2512865821
563	0.2509679911
564	0.2506363478
565	0.2503369172
566	0.249873655
567	0.2495065739
568	0.2491278184
569	0.2487582853
570	0.2484997292
571	0.2481147442
572	0.2478400202
573	0.2474661008
574	0.2471233492
575	0.2468527353
576	0.2463846656
577	0.2460544291
578	0.2457280771
579	0.245394815
580	0.2450418135
581	0.2447521897
582	0.2443921295
583	0.2440264765
584	0.2437191551
585	0.2433299058
586	0.2430887593
587	0.2428063584
588	0.2424678835
589	0.2421922031
590	0.2419759409
591	0.2417363655
592	0.2414817152
593	0.2411654842
594	0.2407600743
595	0.2404292228
596	0.2401848748
597	0.2398722283
598	0.2395238566
599	0.2392460534
600	0.238967599
601	0.2385763552
602	0.2383434981
603	0.2380499765
604	0.2376059601
605	0.2374125859
606	0.2370982008
607	0.2368918776
608	0.2367188122
609	0.2363356224
610	0.2360659731
611	0.2357891529
612	0.2354278922
613	0.2350850143
614	0.2349411977
615	0.2346516479
616	0.2344015335
617	0.2340268757
618	0.2336602372
619	0.2334135397
620	0.2330652785
621	0.2327672443
622	0.2325615667
623	0.232337758
624	0.232184005
625	0.2319741853
626	0.2317532648
627	0.231432267
628	0.2311988246
629	0.2308285698
630	0.2304656683
631	0.2301850662
632	0.2299174101
633	0.2296216744
634	0.2292936543
635	0.229040123
636	0.2288399087
637	0.2285812945
638	0.2282870826
639	0.2279273385
640	0.2276116218
641	0.2274425243
642	0.2272442519
643	0.2271021652
644	0.2268653247
645	0.2265608103
646	0.2263383932
647	0.2261855202
648	0.2258659886
649	0.2256083469
650	0.2254729104
651	0.2251597041
652	0.2249899891
653	0.2247239081
654	0.2243701771
655	0.2240842669
656	0.223861344
657	0.2235648748
658	0.2231209101
659	0.2229505738
660	0.2227416333
661	0.2225292641
662	0.222203432
663	0.2218061008
664	0.2215914567
665	0.2212477062
666	0.2209461818
667	0.220548955
668	0.2203454029
669	0.2201251053
670	0.2198798871
671	0.2196638207
672	0.2193263528
673	0.2190339988
674	0.2187604378
675	0.2185328917
676	0.2181279454
677	0.2179916666
678	0.2176169188
