iter	Passed	Remaining
0	1	1282
1	1	995
2	2	896
3	3	839
4	4	814
5	4	803
6	5	801
7	6	817
8	7	865
9	8	848
10	9	840
11	10	841
12	10	834
13	11	833
14	12	825
15	13	821
16	14	818
17	15	829
18	16	831
19	16	825
20	17	818
21	18	813
22	19	813
23	20	813
24	20	817
25	22	838
26	23	855
27	24	861
28	25	860
29	26	862
30	27	863
31	28	866
32	29	874
33	30	871
34	31	868
35	32	858
36	33	859
37	34	867
38	34	856
39	35	859
40	36	856
41	37	849
42	37	843
43	38	838
44	39	833
45	40	831
46	40	829
47	41	825
48	42	825
49	43	824
50	44	823
51	45	820
52	45	817
53	47	823
54	47	820
55	48	817
56	49	816
57	50	813
58	50	810
59	51	809
60	52	811
61	53	803
62	54	804
63	54	803
64	55	803
65	56	801
66	57	804
67	59	811
68	60	813
69	61	813
70	62	811
71	62	809
72	63	806
73	64	804
74	65	804
75	66	804
76	67	804
77	67	802
78	69	804
79	69	802
80	70	802
81	71	801
82	72	801
83	73	801
84	74	804
85	75	803
86	76	801
87	77	799
88	78	798
89	78	795
90	79	794
91	80	793
92	81	793
93	82	791
94	82	789
95	83	789
96	84	787
97	85	785
98	86	783
99	86	781
100	88	784
101	88	782
102	90	784
103	91	784
104	91	783
105	92	782
106	93	780
107	94	778
108	96	791
109	97	789
110	98	787
111	99	789
112	100	791
113	101	792
114	103	793
115	104	793
116	105	792
117	105	790
118	106	791
119	107	790
120	108	789
121	109	788
122	110	788
123	111	787
124	112	785
125	113	783
126	114	784
127	114	781
128	115	778
129	116	776
130	116	774
131	117	772
132	118	770
133	118	768
134	119	766
135	120	766
136	121	765
137	122	763
138	123	761
139	123	759
140	124	758
141	125	757
142	126	756
143	127	755
144	127	753
145	128	752
146	129	750
147	129	748
148	130	746
149	131	744
150	132	742
151	132	740
152	133	740
153	134	740
154	135	739
155	136	738
156	137	736
157	137	734
158	138	732
159	139	730
160	139	728
161	140	727
162	141	726
163	142	726
164	143	724
165	143	722
166	144	720
167	145	719
168	145	717
169	146	715
170	147	714
171	148	713
172	148	711
173	149	709
174	150	709
175	151	707
176	151	705
177	152	704
178	153	702
179	153	701
180	154	700
181	155	699
182	156	699
183	157	698
184	158	697
185	159	696
186	160	695
187	160	695
188	161	693
189	162	693
190	163	692
191	164	691
192	164	689
193	165	688
194	166	687
195	167	686
196	168	685
197	169	685
198	170	685
199	171	684
200	171	682
201	172	681
202	173	681
203	174	680
204	174	678
205	175	676
206	176	675
207	176	673
208	177	671
209	178	670
210	178	668
211	179	667
212	180	665
213	180	664
214	181	663
215	182	661
216	183	660
217	183	659
218	184	657
219	185	656
220	185	654
221	186	653
222	187	653
223	188	652
224	189	651
225	190	650
226	190	649
227	191	648
228	192	647
229	192	645
230	193	644
231	194	643
232	195	642
233	195	641
234	196	639
235	197	638
236	197	636
237	198	635
238	199	633
239	199	632
240	200	631
241	201	629
242	201	629
243	203	629
244	204	628
245	204	627
246	205	626
247	206	625
248	207	625
249	208	624
250	209	624
251	210	625
252	211	624
253	212	622
254	212	621
255	213	619
256	214	618
257	214	617
258	215	616
259	216	615
260	217	614
261	217	613
262	218	612
263	219	610
264	219	609
265	220	608
266	221	606
267	221	606
268	222	605
269	223	604
270	225	605
271	226	605
272	227	604
273	227	603
274	228	603
275	229	602
276	230	601
277	230	599
278	231	599
279	232	598
280	233	597
281	234	596
282	234	595
283	235	593
284	236	592
285	236	591
286	237	589
287	238	588
288	238	587
289	239	586
290	240	586
291	241	586
292	242	585
293	243	585
294	244	585
295	245	584
296	247	585
