,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,total coaching improved,csat,sin(csat),cos(csat),Tuesday_multiply_Thursday,Monday_multiply_Saturday,Sunday_multiply_Friday,Friday_multiply_Saturday,actualvalue_class
97,100.0,100.0,95.7066650390625,97.38843295690914,95.1544418334961,100.0,92.67749786376953,3.0,0.36368355,1.2471321,-0.1359518,9515.44418334961,9570.66650390625,9738.843295690915,9570.66650390625,1
290,89.52428436279297,94.80110931396484,95.23857116699219,91.46857452392578,87.82543158907156,97.61856842041016,94.75727243487465,5.0,0.53981537,1.2957677,-0.5267329,8573.392902629834,9028.722196107847,8188.658675939252,8526.164927459904,1
121,94.0585708618164,100.0,94.4433364868164,100.0,94.12714385986328,96.42749786376953,96.66666412353516,2.0,-0.26311287,-0.10484363,1.212918,9076.444963469694,9444.33364868164,9405.85708618164,8883.205257371592,1
113,98.46199798583984,95.3125,93.5,100.0,100.0,98.57142639160156,97.72750091552734,1.0,0.9473565,0.80295616,-1.1775627,9857.142639160156,8911.71875,9846.199798583984,9206.196811676025,0
170,97.90425888928266,85.59500122070312,94.44499969482422,100.0,96.20752980168173,100.0,100.0,2.0,1.1957079,0.25811347,-1.4109161,9620.752980168172,8084.019864167785,9790.425888928266,9246.567700920292,0
338,97.14286041259766,96.66666412353516,95.26389507437439,96.00449045166175,96.875,100.0,91.66714477539062,2.446679345086006,0.8158493,1.0372342,-1.0053254,9687.5,9208.842948254245,9326.150814928342,9254.2072615703,0
52,93.33399963378906,87.5,91.6675033569336,95.83333587646484,100.0,97.14199829101562,83.33499908447266,1.031086328058295,-0.29815042,-0.2030717,1.251537,9714.199829101562,8020.906543731689,8944.508535598754,8555.694724746398,0
223,100.0,97.14199829101562,100.0,89.16666412353516,97.14199829101562,97.61833190917969,100.0,2.0738395370390665,1.5495361,-0.51698613,-1.5508889,9482.83983149333,9714.199829101562,8916.666412353516,10000.0,1
220,100.0,100.0,91.6675033569336,94.94307877769222,96.66600036621094,100.0,100.0,3.0,1.2390883,0.15768807,-1.4398667,9666.600036621094,9166.75033569336,9494.307877769223,9166.75033569336,0
353,100.0,98.41285705566406,93.75,95.7387466430664,96.84599427450806,100.0,96.17285919189453,1.3047511611735623,0.04281871,0.72193146,0.64693415,9684.599427450807,9226.205348968506,9573.87466430664,9375.0,1
154,100.0,98.35873202679345,91.11166381835938,96.42857360839844,100.0,95.98569524519789,100.0,2.0,0.9473565,0.80295616,-1.1775627,9598.56952451979,8961.627726025303,9642.857360839844,9111.166381835938,0
241,98.71833038330078,97.53111267089844,97.22166442871094,90.81749725341797,93.75,96.36666870117188,100.0,2.0,0.64629364,1.2404262,-0.73071694,9034.375190734863,9482.137107448885,8965.351698447426,9597.560389487888,0
316,97.95857238769531,100.0,97.33399963378906,97.4917975559712,100.0,94.0585708618164,100.0,3.0,0.4806153,1.2994157,-0.40241766,9405.85708618164,9733.399963378906,9550.157308093141,9534.699648910435,0
358,100.0,100.0,94.58333587646484,89.45042206757054,92.0633316040039,98.9800033569336,100.0,1.717512120627069,1.9665852,-1.1474178,-1.4568311,9112.428871214797,9458.333587646484,8945.042206757054,9458.333587646484,1
222,95.23857116699219,89.6875,95.11778545495464,98.40785504751175,97.03666687011719,97.22222137451172,98.41222381591797,2.0,0.12316684,0.8996877,0.45487994,9434.12030789128,8530.876382991244,9372.2235063335,9058.881979298392,1
252,93.80799865722656,95.0,93.95381484825174,94.40204139720848,100.0,93.9816665649414,90.211669921875,1.0,-1.0872536,-1.5682782,0.16697884,9398.16665649414,8925.612410583915,8855.66657262878,8813.619337126112,1
288,95.83333587646484,96.29666900634766,96.42749786376953,97.91666412353516,83.33499908447266,100.0,99.62244549456055,1.0,-0.5491464,-0.8314886,1.3088162,8333.499908447266,9285.64684489771,9383.68056085374,9240.968790505722,1
74,79.1137466430664,92.72250366210938,97.22277317568687,90.60227143219493,90.05333709716797,98.8637466430664,96.16500091552734,3.0,0.32514074,1.2125407,-0.043415602,8903.010303137067,9014.738941823054,7167.885147373003,7691.657844957604,1
89,100.0,98.14778137207031,96.66600036621094,100.0,98.94991101599663,92.7074966430664,96.83049420650055,1.4241395896197862,0.89170337,0.9087434,-1.1089123,9173.398543347228,9487.55347005534,10000.0,9666.600036621094,0
347,100.0,100.0,96.29499816894531,90.67820134865596,82.06749725341797,92.24888610839844,100.0,2.0,0.104535215,0.8608001,0.5001954,7570.635207331856,9629.499816894531,9067.820134865597,9629.499816894531,1
219,100.0,100.0,91.6675033569336,94.94307877769222,96.66600036621094,100.0,100.0,3.0,1.2390883,0.15768807,-1.4398667,9666.600036621094,9166.75033569336,9494.307877769223,9166.75033569336,0
481,93.33333587646484,96.42749786376953,92.88319324386778,94.55240841292857,96.42749786376953,100.0,100.0,1.7343541971650098,1.6633325,-0.7232157,-1.5514895,9642.749786376953,8956.493918103153,8824.891692332543,8669.098272308502,1
