,employeeid,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,weekbefore,ncoachingid,total coaching improved,csat,actualvalue
0,26702503,50.0,100.0,,,,,100.0,100.0,,,97.8,
1,26702504,,100.0,,100.0,100.0,,,100.0,,,96.74,
2,26702506,100.0,95.51375,100.0,94.5642857142857,95.76124999999999,94.95250000000001,96.74374999999999,95.96,,,,
3,26702507,91.468,91.88,100.0,91.112,,96.666,,80.0,,,95.52,90.00
4,26702507,91.468,91.88,100.0,91.112,,96.666,,100.0,,,95.52,90.00
5,26702512,96.60857142857144,95.025,95.37333333333333,,95.70875,95.90750000000001,97.60625,95.33,,,74.0,
6,26702518,96.30142857142857,90.65124999999999,50.0,92.85499999999999,95.59875,95.60777777777778,95.29444444444444,98.41,,,90.57,
7,26702537,100.0,88.52714285714286,100.0,95.83285714285714,,95.71375,,100.0,1.0,1.0,96.63,88.89
8,26702537,100.0,88.52714285714286,100.0,95.83285714285714,,95.71375,,100.0,1.0,1.0,96.63,88.89
9,26702538,95.0257142857143,97.72749999999999,94.55166666666666,100.0,91.11,94.47999999999999,96.155,100.0,1.0,1.0,97.29,
10,26702549,100.0,98.14777777777778,92.85714285714286,96.42857142857143,,96.875,100.0,100.0,1.0,1.0,97.99,80.00
11,26702549,100.0,98.14777777777778,92.85714285714286,96.42857142857143,,96.875,100.0,80.0,1.0,1.0,97.99,80.00
12,26702550,96.2242857142857,97.32000000000001,98.795,,94.92125,94.32714285714285,96.58625,98.57,,,95.78,
13,26702550,96.2242857142857,97.32000000000001,98.795,,94.92125,94.32714285714285,96.58625,90.14,,,95.78,
14,26702594,100.0,94.445,89.28666666666668,,93.33333333333333,95.10142857142857,100.0,100.0,1.0,,96.19,100.00
15,26702611,95.30333333333333,100.0,,,97.2811111111111,97.22222222222223,98.76555555555555,100.0,2.0,,95.14,100.00
16,26702617,96.98428571428572,91.11111111111111,95.22142857142858,95.32857142857142,,97.60111111111111,,100.0,,,93.87,97.06
17,26702617,96.98428571428572,91.11111111111111,95.22142857142858,95.32857142857142,,97.60111111111111,,100.0,,,93.87,97.06
18,26702620,92.46,94.73666666666665,92.77799999999999,88.19500000000001,,100.0,,83.33,,,96.42,90.91
19,26702621,100.0,97.75555555555555,97.5,98.61125,,93.75,,100.0,1.0,,95.3,76.92
